;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1941094050;23.05.2018;SHELL TECHNOLOGY VENTURES BV;SONNEN HOLDING GMBH;DE;3692;Minority stake unknown %
2.;140082;24.10.2001;SHELL TECHNOLOGY VENTURES BV;2WIRE INC.;US;3651 / 7372 / 7374;Minority stake unknown %
3.;1909560015;24.03.2017;SHELL TECHNOLOGY VENTURES BV;MAGSEIS ASA;NO;3829 / 8713;Capital Increase 37.458%
4.;1909150977;05.11.2014;SHELL TECHNOLOGY VENTURES BV;AQUION ENERGY INC.;US;3691 / 8731;Minority stake unknown %
5.;96392;14.08.2001;SHELL TECHNOLOGY VENTURES BV;GRAVITON INC.;US;4899 / 7371;Minority stake unknown %
6.;1941010209;05.12.2017;SHELL TECHNOLOGY VENTURES BV;KESPRY INC.;US;7374;Minority stake unknown %
7.;1941118056;06.08.2018;SHELL TECHNOLOGY VENTURES BV;AMPLE INC.;US;8731;Minority stake unknown %
8.;1941019090;19.12.2017;SHELL TECHNOLOGY VENTURES BV;MAANA INC.;US;7374;Minority stake unknown %
9.;140079;03.12.2002;SHELL TECHNOLOGY VENTURES BV;2WIRE INC.;US;3651 / 7372 / 7374;Minority stake unknown %
10.;1909302025;10.10.2016;SHELL TECHNOLOGY VENTURES BV;AIRBORNE OIL & GAS BV;NL;3084;Minority stake unknown %
11.;616071;22.01.2008;SHELL TECHNOLOGY VENTURES BV;AIRBIQUITY INC.;US;7371 / 7372 / 7374;Minority stake unknown %
12.;153646;15.10.2003;SHELL TECHNOLOGY VENTURES BV;COMVERGE INC.;US;7371 / 7372;Minority stake unknown %
13.;236243;27.11.2001;SHELL TECHNOLOGY VENTURES BV;AIRBIQUITY INC.;US;7371 / 7372 / 7374;Minority stake unknown %
14.;1909480125;01.09.2016;SHELL TECHNOLOGY VENTURES BV;SENSE LABS INC.;US;3825 / 7371;Minority stake unknown %
15.;104282;13.12.2001;SHELL TECHNOLOGY VENTURES BV;SIXTH DIMENSION;US;7371 / 7373;Minority stake unknown %
16.;1941145209;27.09.2018;SHELL TECHNOLOGY VENTURES BV;AKSELOS SA;CH;7371;Minority stake unknown %
17.;1909000648;02.07.2014;SHELL TECHNOLOGY VENTURES BV;VEROS SYSTEMS INC.;US;3823 / 7371 / 7372 / 7374;Minority stake unknown %
18.;1941019653;15.12.2017;SHELL TECHNOLOGY VENTURES BV;SOLARNOW BV;NL;5074;Minority stake unknown %
19.;236211;13.06.2003;SHELL TECHNOLOGY VENTURES BV;AIRBIQUITY INC.;US;7371 / 7372 / 7374;Minority stake unknown %
20.;1941099420;25.06.2018;SHELL TECHNOLOGY VENTURES BV;OPENBAY INC.;US;7371 / 7374;Minority stake unknown %
21.;1941084390;09.05.2018;SHELL TECHNOLOGY VENTURES BV;AXIOM EXERGY INC.;US;3692;Minority stake unknown %
22.;98043;09.09.2001;SHELL TECHNOLOGY VENTURES BV;TUSKERDIRECT.COM LTD;GB;7514;Minority stake unknown %
23.;1941109979;02.07.2018;SHELL TECHNOLOGY VENTURES BV;SALAMANDER SOLUTIONS;US;3585 / 7372;Minority stake unknown %
24.;1941116634;01.08.2018;SHELL TECHNOLOGY VENTURES BV;WHOCANFIXMYCAR.COM LTD;GB;7374;Minority stake unknown %
25.;99926;02.10.2001;SHELL TECHNOLOGY VENTURES BV;NETSHIFT SOFTWARE LTD;GB;7371;Minority stake unknown %
26.;516194;15.02.2007;SHELL TECHNOLOGY VENTURES BV;OPENSPIRIT CORPORATION;US;7371 / 7372;Minority stake unknown %
27.;273470;21.08.2004;SHELL TECHNOLOGY VENTURES BV;PAULSSON GEOPHYSICAL SERVICES INC.;US;1382 / 1389 / 8711;Minority stake unknown %
28.;1909173559;01.12.2014;SHELL TECHNOLOGY VENTURES BV;AIRBORNE OIL & GAS BV;NL;3084;Minority stake unknown %
29.;1909229738;05.05.2015;SHELL TECHNOLOGY VENTURES BV;QUANTICO ENERGY SOLUTIONS LLC;US;7374;Minority stake unknown %
30.;1909520507;14.12.2016;SHELL TECHNOLOGY VENTURES BV;ROCSOLE OY;FI;3823;Minority stake unknown %
31.;1909552616;06.03.2017;SHELL TECHNOLOGY VENTURES BV;TIRAMIZOO GMBH;DE;4215 / 4513 / 7374;Minority stake unknown %
32.;1909299372;19.10.2015;SHELL TECHNOLOGY VENTURES BV;AIRBORNE OIL & GAS BV;NL;3084;Minority stake unknown %