;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;373034;29.08.2005;UMC CAPITAL;DIBCOM SA;FR;3679 / 4899;Minority stake unknown %
2.;194782;07.08.2001;UMC CAPITAL;LIGHTCROSS INC.;US;3674 / 3827;Minority stake unknown %
3.;553857;04.07.2007;UMC CAPITAL;DIBCOM SA;FR;3679 / 4899;Minority stake unknown %
4.;1909636500;03.10.2017;UMC CAPITAL;ATSCALE INC.;US;7372 / 7374;Minority stake unknown %
5.;1601216703;14.09.2010;UMC CAPITAL;SANDFORCE INC.;US;3674;Minority stake unknown %
6.;372066;24.08.2005;UMC CAPITAL;INTELLON CORPORATION;US;3661 / 3663 / 3669 / 3674;Minority stake unknown %
7.;1601450860;27.02.2013;UMC CAPITAL;NEXENTA SYSTEMS INC.;US;7372 / 7374;Minority stake unknown %
8.;238309;05.04.2004;UMC CAPITAL;INTELLON CORPORATION;US;3661 / 3663 / 3669 / 3674;Minority stake unknown %
9.;229644;01.03.2004;UMC CAPITAL;IC MEDIA CORPORATION;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
10.;1601133005;10.11.2009;UMC CAPITAL;SANDFORCE INC.;US;3674;Minority stake unknown %
11.;1601104242;30.10.2006;UMC CAPITAL;MAXLINEAR INC.;US;3674;Minority stake unknown %
12.;500706;19.12.2006;UMC CAPITAL;INTELLON CORPORATION;US;3661 / 3663 / 3669 / 3674;Minority stake unknown %
13.;1909156304;15.10.2014;UMC CAPITAL;THISMOMENT INC.;US;7374;Minority stake unknown %
14.;1909160387;27.10.2014;UMC CAPITAL;SWIFTSTACK INC.;US;7371 / 7372;Minority stake unknown %
15.;1909044722;22.11.2013;UMC CAPITAL;ALPINE ANALYTICS INC.;US;7371;Minority stake unknown %
16.;1909086035;24.03.2014;UMC CAPITAL;ENVERV INC.;US;3674 / 8731;Minority stake unknown %
17.;1909100530;07.05.2014;UMC CAPITAL;METACLOUD INC.;US;7372 / 7374;Minority stake unknown %
18.;1601202892;22.09.2010;UMC CAPITAL;UBIQUISYS LTD;GB;3575 / 7371;Minority stake unknown %
19.;1909277648;21.11.2016;UMC CAPITAL;HANGZHOU YIFANGYUN NETWORK TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
20.;1941091852;06.06.2018;UMC CAPITAL;NEXTINPUT INC.;US;3679;Minority stake unknown %
21.;1909113847;13.06.2014;UMC CAPITAL;GLYMPSE INC.;US;7372 / 7374;Minority stake unknown %
22.;305642;28.12.2004;UMC CAPITAL;IC MEDIA CORPORATION;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
23.;1909438798;16.05.2016;UMC CAPITAL;ATSCALE INC.;US;7372 / 7374;Minority stake unknown %
24.;1601112860;14.09.2009;UMC CAPITAL;QSECURE INC.;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
25.;1647005416;28.05.2013;UMC CAPITAL;SHANGHAI ALO7 NETWORK TECHNOLOGY CO., LTD;CN;2731 / 8299 / 8999;Minority stake unknown %
26.;550959;19.06.2007;UMC CAPITAL;VISAGE MOBILE INC.;US;7371 / 7372 / 7374;Minority stake unknown %
27.;489576;31.10.2006;UMC CAPITAL;QSECURE INC.;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
28.;1909250152;23.06.2015;UMC CAPITAL;ATSCALE INC.;US;7372 / 7374;Minority stake unknown %
29.;1601454581;12.03.2013;UMC CAPITAL;SWIFTSTACK INC.;US;7371 / 7372;Minority stake unknown %
30.;1909443023;24.05.2016;UMC CAPITAL;SENSIFREE INC.;US;8731;Minority stake unknown %
31.;1601211222;31.12.2007;UMC CAPITAL;QSECURE INC.;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
32.;1601200894;29.06.2010;UMC CAPITAL;SOLARGEN ENERGY INC.;US;4911;Capital Increase unknown stake %
33.;503751;08.01.2005;UMC CAPITAL;CARETTA INTEGRATED CIRCUITS CORPORATION;CN;3674;Minority stake unknown %
34.;1633076663;;UMC CAPITAL;MANDAL GENERAL INSURANCE;MN;6399 / 6411;Minority stake unknown %
35.;1000009446;31.03.2007;UMC CAPITAL;NOAH EDUCATION HOLDINGS LTD;KY;3571 / 3669 / 7371 / 7372;Minority stake unknown %
36.;1601003721;21.07.2008;UMC CAPITAL;KU6 HOLDING LTD;CN;4833 / 8999;Minority stake unknown %